genus,gbif_key,occurrence_id,scientific_name,event_date,latitude,longitude,record_license,media_license,creator,rights_holder,source_url,download_url,media_extension,photo_id,local_path,bytes,sha256
Anastrepha,1262366494,http://www.inaturalist.org/observations/1262451,"Anastrepha curvicauda (Gerstaecker, 1860)",2015-02-11T15:10:13,20.358729,-89.772044,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/licenses/by/4.0/,Katja Schulz,Katja Schulz,https://www.flickr.com/photos/treegrow/16673614445/,https://inaturalist-open-data.s3.amazonaws.com/photos/1585142/medium.jpg,.jpg,1585142,inaturalist/images_medium/anastrepha/1262366494_1585142.jpg,53650,0a692fa895170d8cc8b57f17f7c2ef4ab46cbc1f15386270877c46f9288f5dde
Anastrepha,1291060970,http://www.inaturalist.org/observations/1470571,"Anastrepha ludens (Loew, 1873)",2015-05-09,19.378143,-99.022876,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,Felix Morales,Felix Morales,https://www.inaturalist.org/photos/1822889,https://inaturalist-open-data.s3.amazonaws.com/photos/1822889/medium.jpg,.jpg,1822889,inaturalist/images_medium/anastrepha/1291060970_1822889.jpg,123821,3f9c06e40e31ea88a860853ac1b6fca551b8ccab49f13303eeebce324987f344
Anastrepha,1291062558,http://www.inaturalist.org/observations/164680,"Anastrepha ludens (Loew, 1873)",2010-12-03T08:23:20,26.173156,-98.362827,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,BJ Stacey,BJ Stacey,http://www.flickr.com/photos/finaticphotography/8289752708/,https://inaturalist-open-data.s3.amazonaws.com/photos/220928/medium.jpg,.jpg,220928,inaturalist/images_medium/anastrepha/1291062558_220928.jpg,95219,6b846c53bad11c072fa246d1383f1458d84f8ee6ec5143bdcd051906c595f4d9
Anastrepha,1315078738,http://conabio.inaturalist.org/observations/4145650,"Anastrepha obliqua (Macquart, 1835)",2016-07-22T18:38,22.227852,-97.84308,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos Delgado,Juan Carlos Delgado,https://www.inaturalist.org/photos/4935435,https://inaturalist-open-data.s3.amazonaws.com/photos/4935435/medium.jpg,.jpg,4935435,inaturalist/images_medium/anastrepha/1315078738_4935435.jpg,82809,1196255c2baf1b9bf2cb84af58cc5f03941f309f268180f6dedeac5f505107e4
Anastrepha,1453309494,https://www.inaturalist.org/observations/4845883,"Anastrepha curvicauda (Gerstaecker, 1860)",2016-12-26T13:22:42,18.902049,-99.162477,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,Alfredo Omar,Alfredo Omar,https://www.inaturalist.org/photos/5884573,https://inaturalist-open-data.s3.amazonaws.com/photos/5884573/medium.png,.png,5884573,inaturalist/images_medium/anastrepha/1453309494_5884573.png,187564,b7540185ec56b09dbf79d3771d14a6c984b9f1405315d14be144716241e36437
Anastrepha,1453395732,https://www.inaturalist.org/observations/5041343,"Anastrepha ludens (Loew, 1873)",2017-02-01T11:37:34,18.901958,-99.162348,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,Alfredo Omar,Alfredo Omar,https://www.inaturalist.org/photos/6175734,https://inaturalist-open-data.s3.amazonaws.com/photos/6175734/medium.jpeg,.jpeg,6175734,inaturalist/images_medium/anastrepha/1453395732_6175734.jpeg,63970,ae673314aa05731a2b3428e53085aa3310f092ac02b66dbd5f09c3482a1e6c47
Anastrepha,1802765179,https://www.inaturalist.org/observations/9347467,"Anastrepha ludens (Loew, 1873)",2017-11-18T11:18,26.178605,-98.366481,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,Alejandro Santillana,Alejandro Santillana,https://www.inaturalist.org/photos/12684708,https://inaturalist-open-data.s3.amazonaws.com/photos/12684708/medium.jpg,.jpg,12684708,inaturalist/images_medium/anastrepha/1802765179_12684708.jpg,127718,e2df2f1cffb28fd0b9e51d7e0e960d2b647afd8596b09065edbc77be830b6cd2
Anastrepha,1836579776,https://www.inaturalist.org/observations/10094548,"Anastrepha ludens (Loew, 1873)",2018-02-01T05:37,26.205174,-98.269137,http://creativecommons.org/licenses/by-nc/4.0/legalcode,http://creativecommons.org/licenses/by-nc/4.0/,Bianca Banda,Bianca Banda,https://www.inaturalist.org/photos/13907956,https://inaturalist-open-data.s3.amazonaws.com/photos/13907956/medium.jpeg,.jpeg,13907956,inaturalist/images_medium/anastrepha/1836579776_13907956.jpeg,40026,e3bd781ce44a41457cfb1b00054af303f09e5e08051a90e7b2cfd360e9ef85e8
Anastrepha,1841194964,https://www.inaturalist.org/observations/11410975,"Anastrepha ludens (Loew, 1873)",2018-04-24T19:09:39,26.334467,-98.146736,http://creativecommons.org/licenses/by/4.0/legalcode,http://creativecommons.org/licenses/by/4.0/,Juan Chavez,Juan Chavez,https://www.inaturalist.org/photos/16270078,https://inaturalist-open-data.s3.amazonaws.com/photos/16270078/medium.jpeg,.jpeg,16270078,inaturalist/images_medium/anastrepha/1841194964_16270078.jpeg,77161,8447fdc43b188d1702631a27e4411f6b9239d014465ade188a7b661e824e13dd
Anastrepha,1891291632,https://www.inaturalist.org/observations/13996424,"Anastrepha ludens (Loew, 1873)",2018-07-02T09:52:20,33.033158,-117.291009,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/licenses/by-nc-nd/4.0/,langooney,langooney,https://www.inaturalist.org/photos/20700145,https://inaturalist-open-data.s3.amazonaws.com/photos/20700145/medium.jpg,.jpg,20700145,inaturalist/images_medium/anastrepha/1891291632_20700145.jpg,140969,a4a5d0bdbbf2c416d8c84c621be02b1e36eef154060d5e51fc77107b6d37a691
